ID,x,y,z,Sender,Receiver,Interference Sender,Interference Receiver,SeedValue: 1646690220 RumValue: 0
199,440,1430,0,,,,,
200,550,1430,0,,,,,
201,660,1430,0,,,,,
202,770,1430,0,,,,,
203,880,1430,0,,,,,
204,990,1430,0,,,,,
205,1100,1430,0,,,,,
206,1210,1430,0,,,,,
207,1320,1430,0,,,,,
208,1430,1430,0,,,,,
209,1540,1430,0,,,,,
210,0,1540,0,,,,,
211,110,1540,0,,,,,
212,220,1540,0,,,,,
213,330,1540,0,,,,,
214,440,1540,0,,,,,
215,550,1540,0,,,,,
216,660,1540,0,,,,,
217,770,1540,0,,,,,
218,880,1540,0,,,,,
219,990,1540,0,,,,,
220,1100,1540,0,,,,,
221,1210,1540,0,,,,,
222,1320,1540,0,,,,,
223,1430,1540,0,,,,,
224,1540,1540,0,,,,,
225,1650,1540,0,,,,,
226,1760,1540,0,,,,,
227,1870,1540,0,,,,,
228,1980,1540,0,,,,,
229,2090,1540,0,,,,,
230,2200,1540,0,,,,,
231,2310,1540,0,,,,,
232,2420,1540,0,,,,,
233,2530,1540,0,,,,,
234,2640,1540,0,,,,,
235,2750,1540,0,,,,,
236,2860,1540,0,,,,,
237,2970,1540,0,,,,,
238,3080,1540,0,,,,,
239,3190,1540,0,,,,,
240,3300,1540,0,,,,,
241,3410,1540,0,,,,,
242,3520,1540,0,,,,,
243,3630,1540,0,,,,,
244,3740,1540,0,,,,,
245,3850,1540,0,,,,,
246,3960,1540,0,,,,,
247,4070,1540,0,,,,,
248,4180,1540,0,,,,,
249,4290,1540,0,,,,,
250,4400,1540,0,,,,,
251,4510,1540,0,,,,,
252,4620,1540,0,,,,,
253,4730,1540,0,,,,,
254,4840,1540,0,,,,,
255,3300,1430,0,,,,,
256,3410,1430,0,,,,,
257,3520,1430,0,,,,,
258,3630,1430,0,,,,,
259,3740,1430,0,,,,,
260,3850,1430,0,,,,,
261,3960,1430,0,,,,,
262,4070,1430,0,,,,,
263,4180,1430,0,,,,,
264,4290,1430,0,,,,,
265,4400,1430,0,,,,,
266,4510,1430,0,,,,,
267,4620,1430,0,,,,,
268,4730,1430,0,,,,,
269,4840,1430,0,,,,,
270,3300,1320,0,,,,,
271,3410,1320,0,,,,,
272,3520,1320,0,,,,,
273,3630,1320,0,,,,,
274,3740,1320,0,,,,,
275,3850,1320,0,,,,,
276,3960,1320,0,,,,,
277,4070,1320,0,,,,,
278,4180,1320,0,,,,,
279,4290,1320,0,,,,,
280,4400,1320,0,,,,,
281,4510,1320,0,,,,,
282,4620,1320,0,,,,,
283,4730,1320,0,,,,,
284,4840,1320,0,,,,,
285,3300,1210,0,,,,,
286,3410,1210,0,,,,,
287,3520,1210,0,,,,,
288,3630,1210,0,,,,,
289,3740,1210,0,,,,,
290,3850,1210,0,,,,,
291,3960,1210,0,,,,,
292,4070,1210,0,,,,,
293,4180,1210,0,,,,,
294,4290,1210,0,,,,,
295,4400,1210,0,,,,,
296,4510,1210,0,,,,,
297,4620,1210,0,,,,,
298,4730,1210,0,,,,,
299,4840,1210,0,,,,,
300,3300,1100,0,,,,,
301,3410,1100,0,,,,,
302,3520,1100,0,,,,,
303,3630,1100,0,,,,,
304,3740,1100,0,,,,,
305,3850,1100,0,,,,,
306,3960,1100,0,,,,,
307,4070,1100,0,,,,,
308,4180,1100,0,,,,,
309,4290,1100,0,,,,,
310,4400,1100,0,,,,,
311,4510,1100,0,,,,,
312,4620,1100,0,,,,,
313,4730,1100,0,,,,,
314,4840,1100,0,,,,,
315,3300,990,0,,,,,
316,3410,990,0,,,,,
317,3520,990,0,,,,,
318,3630,990,0,,,,,
319,3740,990,0,,,,,
320,3850,990,0,,,,,
321,3960,990,0,,,,,
322,4070,990,0,,,,,
323,4180,990,0,,,,,
324,4290,990,0,,,,,
325,4400,990,0,,,,,
326,4510,990,0,,,,,
327,4620,990,0,,,,,
328,4730,990,0,,,,,
329,4840,990,0,,,,,
330,3300,880,0,,,,,
331,3410,880,0,,,,,
332,3520,880,0,,,,,
333,3630,880,0,,,,,
334,3740,880,0,,,,,
335,3850,880,0,,,,,
336,3960,880,0,,,,,
337,4070,880,0,,,,,
338,4180,880,0,,,,,
339,4290,880,0,,,,,
340,4400,880,0,,,,,
341,4510,880,0,,,,,
342,4620,880,0,,,,,
343,4730,880,0,,,,,
344,4840,880,0,,,,,
345,3300,770,0,,,,,
346,3410,770,0,,,,,
347,3520,770,0,,,,,
348,3630,770,0,,,,,
349,3740,770,0,,,,,
350,3850,770,0,,,,,
351,3960,770,0,,,,,
352,4070,770,0,,,,,
353,4180,770,0,,,,,
354,4290,770,0,,,,,
355,4400,770,0,,,,,
356,4510,770,0,,,,,
357,4620,770,0,,,,,
358,4730,770,0,,,,,
359,4840,770,0,,,,,
360,3300,660,0,,,,,
361,3410,660,0,,,,,
362,3520,660,0,,,,,
363,3630,660,0,,,,,
364,3740,660,0,,,,,
365,3850,660,0,,,,,
366,3960,660,0,,,,,
367,4070,660,0,,,,,
368,4180,660,0,,,,,
369,4290,660,0,,,,,
370,4400,660,0,,,,,
371,4510,660,0,,,,,
372,4620,660,0,,,,,
373,4730,660,0,,,,,
374,4840,660,0,,,,,
375,3300,550,0,,,,,
376,3410,550,0,,,,,
377,3520,550,0,,,,,
378,3630,550,0,,,,,
379,3740,550,0,,,,,
380,3850,550,0,,,,,
381,3960,550,0,,,,,
382,4070,550,0,,,,,
383,4180,550,0,,,,,
384,4290,550,0,,,,,
385,4400,550,0,,,,,
386,4510,550,0,,,,,
387,4620,550,0,,,,,
388,4730,550,0,,,,,
389,4840,550,0,,,,,
390,3300,440,0,,,,,
391,3410,440,0,,,,,
392,3520,440,0,,,,,
393,3630,440,0,,,,,
394,3740,440,0,,,,,
395,3850,440,0,,,,,
396,3960,440,0,,,,,
397,4070,440,0,,,,,
398,4180,440,0,,,,,
399,4290,440,0,,,,,
400,4400,440,0,,,,,
401,4510,440,0,,,,,
402,4620,440,0,,,,,
403,4730,440,0,,,,,
404,4840,440,0,,,,,
405,3300,330,0,,,,,
406,3410,330,0,,,,,
407,3520,330,0,,,,,
408,3630,330,0,,,,,
409,3740,330,0,,,,,
410,3850,330,0,,,,,
411,3960,330,0,,,,,
412,4070,330,0,,,,,
413,4180,330,0,,,,,
414,4290,330,0,,,,,
415,4400,330,0,,,,,
416,4510,330,0,,,,,
417,4620,330,0,,,,,
418,4730,330,0,,,,,
419,4840,330,0,,,,,
420,3300,220,0,,,,,
421,3410,220,0,,,,,
422,3520,220,0,,,,,
423,3630,220,0,,,,,
424,3740,220,0,,,,,
425,3850,220,0,,,,,
426,3960,220,0,,,,,
427,4070,220,0,,,,,
428,4180,220,0,,,,,
429,4290,220,0,,,,,
430,4400,220,0,,,,,
431,4510,220,0,,,,,
432,4620,220,0,,,,,
433,4730,220,0,,,,,
434,4840,220,0,,,,,
435,3300,110,0,,,,,
436,3410,110,0,,,,,
437,3520,110,0,,,,,
438,3630,110,0,,,,,
439,3740,110,0,,,,,
440,3850,110,0,,,,,
441,3960,110,0,,,,,
442,4070,110,0,,,,,
443,4180,110,0,,,,,
444,4290,110,0,,,,,
445,4400,110,0,,,,,
446,4510,110,0,,,,,
447,4620,110,0,,,,,
448,4730,110,0,,,,,
449,4840,110,0,,,,,
450,3300,0,0,,,,,
451,3410,0,0,,,,,
452,3520,0,0,,,,,
453,3630,0,0,,,,,
454,3740,0,0,,,,,
455,3850,0,0,,,,,
456,3960,0,0,,,,,
457,4070,0,0,,,,,
458,4180,0,0,,,,,
459,4290,0,0,,,,,
460,4400,0,0,,,,,
461,4510,0,0,,,,,
462,4620,0,0,,,,,
463,4730,0,0,,,,,
464,4840,0,0,,0,,,
